Company,Address,Loadtimes,Timewindow
"Mypup,""H.J.E. Wenckebachweg 6 V15, 1096 AN Amsterdam NL"",0,""(0, 14400)"""
"    Joan Muyskenweg (2x),""Joan Muyskensweg 6, 1096 CJ Amsterdam NL"",10,""(0, 14400)"""
"    Spakler ,""Spaklerweg 12 C, 1096 BA Amsterdam NL"",5,""(0, 14400)"""
"    HVA KSH ,""Wibautstraat 2-4 KSH Amstelcampus, 1091GM Amsterdam NL"",5,""(0, 14400)"""
"    HVA WBH ,""Wibautstraat 3b, 1091GH Amsterdam NL"",5,""(0, 14400)"""
"    UVA BH / OIH ,""Kloveniersburgwal 48, 1012CX Amsterdam NL"",5,""(0, 14400)"""
"    UVA HVA LWB Privé ,""Weesperzijde 190, 1097DZ Amsterdam NL"",5,""(0, 14400)"""
"    UVA PCH ,""Spuistraat 134, 1012VB Amsterdam NL"",5,""(0, 14400)"""
"    UVA REC ABC ,""Nieuwe Achtergracht 166, 1018 WV  Amsterdam NL"",5,""(0, 14400)"""
"    UVA REC M ,""Plantage Muidergracht 12, 1018TV Amsterdam NL"",5,""(0, 14400)"""
"    UVA UB Singel 425 ,""Singel 425, 1012WP Amsterdam NL"",5,""(0, 14400)"""
"    Booking.com Atrium ,""Parnasusweg 713-721, 1077DG Amsterdam NL"",10,""(0, 14400)"""
"    Epicenter A'dam ,""Fred Roeskestraat 115-117-123, 1076 EE Amsterdam NL"",8,""(0, 14400)"""
"    Halve Maen ,""Spadinalaan 94, 1031KA Amsterdam NL"",5,""(0, 14400)"""
"    The Curve ,""Tt. Vasumweg 58, 1032 KK AMSTERDAM NL"",5,""(0, 14400)"""
"    Statendam ,""Ceramiquelaan, 1031KA Amsterdam NL"",5,""(0, 14400)"""
"    Nationale Nederlanden Amsterdam ,""Amstelplein 6, 1096 BC AMSTERDAM NL"",5,""(0, 14400)"""
"    Infinity ,""Amstelveenseweg 500, 1081 KL Amsterdam NL"",5,""(0, 14400)"""